variable,type,label,outcome,exposure,subset,group
outcome,bnry,outcome,TRUE,FALSE,FALSE,FALSE
ppt_type,bnry,ppt_type,FALSE,TRUE,TRUE,TRUE
vial_type,catg,vial_type,FALSE,TRUE,TRUE,TRUE
addnlmsrs,catg,addnlmsrs,FALSE,TRUE,TRUE,TRUE
alcogr24_pcaa,bnry,alcogr24_pcaa,FALSE,TRUE,TRUE,TRUE
aliquotamnt,bnry,aliquotamnt,FALSE,TRUE,TRUE,TRUE
aliquotDescription,bnry,aliquotDescription,FALSE,TRUE,TRUE,TRUE
allex_pcaa,bnry,allex_pcaa,FALSE,TRUE,TRUE,TRUE
anestreceiv_pcaa,bnry,anestreceiv_pcaa,FALSE,TRUE,TRUE,TRUE
assignmentcode,catg,assignmentcode,FALSE,TRUE,TRUE,TRUE
biotingr3_pcaa,bnry,biotingr3_pcaa,FALSE,TRUE,TRUE,TRUE
bleedeasy_pcaa,bnry,bleedeasy_pcaa,FALSE,TRUE,TRUE,TRUE
BLOincubate,bnry,BLOincubate,FALSE,TRUE,TRUE,TRUE
bloodhow,catg,bloodhow,FALSE,TRUE,TRUE,TRUE
BLOsample_comp,bnry,BLOsample_comp,FALSE,TRUE,TRUE,TRUE
BLOsample_stat,catg,BLOsample_stat,FALSE,TRUE,TRUE,TRUE
caffgr24_pcaa,bnry,caffgr24_pcaa,FALSE,TRUE,TRUE,TRUE
caffgr24_pcab,bnry,caffgr24_pcab,FALSE,TRUE,TRUE,TRUE
caffhrs_pcaa,catg,caffhrs_pcaa,FALSE,TRUE,TRUE,TRUE
caffhrs_pcab,catg,caffhrs_pcab,FALSE,TRUE,TRUE,TRUE
calculatedAge,ctns,calculatedAge,FALSE,TRUE,TRUE,TRUE
coll_staffid,ctns,coll_staffid,FALSE,TRUE,TRUE,TRUE
collected,catg,collected,FALSE,TRUE,TRUE,TRUE
collectionQtr,catg,collectionQtr,FALSE,TRUE,TRUE,TRUE
colorCode,bnry,colorCode,FALSE,TRUE,TRUE,TRUE
d_fusample_pcaa,ctns,d_fusample_pcaa,FALSE,TRUE,TRUE,TRUE
d_fusample_pcab,ctns,d_fusample_pcab,FALSE,TRUE,TRUE,TRUE
d_lastfluvac_pcaa,ctns,d_lastfluvac_pcaa,FALSE,TRUE,TRUE,TRUE
d_mencyc_pcaa,ctns,d_mencyc_pcaa,FALSE,TRUE,TRUE,TRUE
d_visit_pca,bnry,d_visit_pca,FALSE,TRUE,TRUE,TRUE
dffcltdraw,bnry,dffcltdraw,FALSE,TRUE,TRUE,TRUE
domainCode,bnry,domainCode,FALSE,TRUE,TRUE,TRUE
drinkgr10_pcaa,bnry,drinkgr10_pcaa,FALSE,TRUE,TRUE,TRUE
drinkshake_pcaa,bnry,drinkshake_pcaa,FALSE,TRUE,TRUE,TRUE
drinkshake_pcab,bnry,drinkshake_pcab,FALSE,TRUE,TRUE,TRUE
drinkwater_pcaa,bnry,drinkwater_pcaa,FALSE,TRUE,TRUE,TRUE
eatgr10_pcaa,bnry,eatgr10_pcaa,FALSE,TRUE,TRUE,TRUE
eathrs_pcaa,bnry,eathrs_pcaa,FALSE,TRUE,TRUE,TRUE
exdays_pcaa,ctns,exdays_pcaa,FALSE,TRUE,TRUE,TRUE
fainting_pcaa,bnry,fainting_pcaa,FALSE,TRUE,TRUE,TRUE
feelwell_pcaa,bnry,feelwell_pcaa,FALSE,TRUE,TRUE,TRUE
freezetime,ctns,freezetime,FALSE,TRUE,TRUE,TRUE
health_pcaa,bnry,health_pcaa,FALSE,TRUE,TRUE,TRUE
Htcmavg_hwwt,ctns,Htcmavg_hwwt,FALSE,TRUE,TRUE,TRUE
incubatetime,bnry,incubatetime,FALSE,TRUE,TRUE,TRUE
latexallerg_pcaa,bnry,latexallerg_pcaa,FALSE,TRUE,TRUE,TRUE
latino_psca,bnry,latino_psca,FALSE,TRUE,TRUE,TRUE
meetprereq_pcaa,bnry,meetprereq_pcaa,FALSE,TRUE,TRUE,TRUE
meetprereq_pcab,bnry,meetprereq_pcab,FALSE,TRUE,TRUE,TRUE
mencycdays_pcaa,catg,mencycdays_pcaa,FALSE,TRUE,TRUE,TRUE
MTP_RECEIVEDDate,catg,MTP_RECEIVEDDate,FALSE,TRUE,TRUE,TRUE
MTP_SHIPNUM,catg,MTP_SHIPNUM,FALSE,TRUE,TRUE,TRUE
MTP_SMPTYPE,catg,MTP_SMPTYPE,FALSE,TRUE,TRUE,TRUE
nsaiddays_pcaa,catg,nsaiddays_pcaa,FALSE,TRUE,TRUE,TRUE
nsaidgr7_pcaa,bnry,nsaidgr7_pcaa,FALSE,TRUE,TRUE,TRUE
randomGroupCode,catg,randomGroupCode,FALSE,TRUE,TRUE,TRUE
reconcileStatus,bnry,reconcileStatus,FALSE,TRUE,TRUE,TRUE
samemeal_pcab,bnry,samemeal_pcab,FALSE,TRUE,TRUE,TRUE
sampletime,ctns,sampletime,FALSE,TRUE,TRUE,TRUE
schedulecode,catg,schedulecode,FALSE,TRUE,TRUE,TRUE
sedconex_pcaa,bnry,sedconex_pcaa,FALSE,TRUE,TRUE,TRUE
sedex_pcaa,bnry,sedex_pcaa,FALSE,TRUE,TRUE,TRUE
sex_psca,bnry,sex_psca,FALSE,TRUE,TRUE,TRUE
siteID,ctns,siteID,FALSE,TRUE,TRUE,TRUE
spintime,ctns,spintime,FALSE,TRUE,TRUE,TRUE
staffID,ctns,staffID,FALSE,TRUE,TRUE,TRUE
stopreas_pcab,bnry,stopreas_pcab,FALSE,TRUE,TRUE,TRUE
stpnewmed_pcaa,bnry,stpnewmed_pcaa,FALSE,TRUE,TRUE,TRUE
strtnewmed_pcaa,bnry,strtnewmed_pcaa,FALSE,TRUE,TRUE,TRUE
study,catg,study,FALSE,TRUE,TRUE,TRUE
supine30,bnry,supine30,FALSE,TRUE,TRUE,TRUE
supinemin,catg,supinemin,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze,ctns,t_BLOfreeze,FALSE,TRUE,TRUE,TRUE
t_BLOincubate,bnry,t_BLOincubate,FALSE,TRUE,TRUE,TRUE
t_BLOspin,ctns,t_BLOspin,FALSE,TRUE,TRUE,TRUE
t_liedown,ctns,t_liedown,FALSE,TRUE,TRUE,TRUE
t_strt24rst_pcab,ctns,t_strt24rst_pcab,FALSE,TRUE,TRUE,TRUE
t_strtprerst_pcaa,ctns,t_strtprerst_pcaa,FALSE,TRUE,TRUE,TRUE
t_syrstp,ctns,t_syrstp,FALSE,TRUE,TRUE,TRUE
t_syrstrt,ctns,t_syrstrt,FALSE,TRUE,TRUE,TRUE
testWeight,ctns,testWeight,FALSE,TRUE,TRUE,TRUE
timepointOrder,catg,timepointOrder,FALSE,TRUE,TRUE,TRUE
visitCode,catg,visitCode,FALSE,TRUE,TRUE,TRUE
visitstatus,bnry,visitstatus,FALSE,TRUE,TRUE,TRUE
wtkg_pcaa,ctns,wtkg_pcaa,FALSE,TRUE,TRUE,TRUE
wtkg_pcab,ctns,wtkg_pcab,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze_minus_BLOincubate,bnry,t_BLOfreeze_minus_BLOincubate,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze_minus_BLOspin,ctns,t_BLOfreeze_minus_BLOspin,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze_minus_liedown,ctns,t_BLOfreeze_minus_liedown,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze_minus_strt24rst_pcab,ctns,t_BLOfreeze_minus_strt24rst_pcab,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze_minus_strtprerst_pcaa,ctns,t_BLOfreeze_minus_strtprerst_pcaa,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze_minus_syrstp,ctns,t_BLOfreeze_minus_syrstp,FALSE,TRUE,TRUE,TRUE
t_BLOfreeze_minus_syrstrt,ctns,t_BLOfreeze_minus_syrstrt,FALSE,TRUE,TRUE,TRUE
t_BLOincubate_minus_strt24rst_pcab,bnry,t_BLOincubate_minus_strt24rst_pcab,FALSE,TRUE,TRUE,TRUE
t_BLOincubate_minus_strtprerst_pcaa,bnry,t_BLOincubate_minus_strtprerst_pcaa,FALSE,TRUE,TRUE,TRUE
t_BLOincubate_minus_syrstp,bnry,t_BLOincubate_minus_syrstp,FALSE,TRUE,TRUE,TRUE
t_BLOincubate_minus_syrstrt,bnry,t_BLOincubate_minus_syrstrt,FALSE,TRUE,TRUE,TRUE
t_BLOspin_minus_liedown,ctns,t_BLOspin_minus_liedown,FALSE,TRUE,TRUE,TRUE
t_BLOspin_minus_strt24rst_pcab,ctns,t_BLOspin_minus_strt24rst_pcab,FALSE,TRUE,TRUE,TRUE
t_BLOspin_minus_strtprerst_pcaa,ctns,t_BLOspin_minus_strtprerst_pcaa,FALSE,TRUE,TRUE,TRUE
t_BLOspin_minus_syrstp,ctns,t_BLOspin_minus_syrstp,FALSE,TRUE,TRUE,TRUE
t_BLOspin_minus_syrstrt,ctns,t_BLOspin_minus_syrstrt,FALSE,TRUE,TRUE,TRUE
t_liedown_minus_strt24rst_pcab,ctns,t_liedown_minus_strt24rst_pcab,FALSE,TRUE,TRUE,TRUE
t_liedown_minus_strtprerst_pcaa,ctns,t_liedown_minus_strtprerst_pcaa,FALSE,TRUE,TRUE,TRUE
t_liedown_minus_syrstp,ctns,t_liedown_minus_syrstp,FALSE,TRUE,TRUE,TRUE
t_liedown_minus_syrstrt,ctns,t_liedown_minus_syrstrt,FALSE,TRUE,TRUE,TRUE
t_strt24rst_pcab_minus_strtprerst_pcaa,ctns,t_strt24rst_pcab_minus_strtprerst_pcaa,FALSE,TRUE,TRUE,TRUE
t_strt24rst_pcab_minus_syrstp,ctns,t_strt24rst_pcab_minus_syrstp,FALSE,TRUE,TRUE,TRUE
t_strt24rst_pcab_minus_syrstrt,ctns,t_strt24rst_pcab_minus_syrstrt,FALSE,TRUE,TRUE,TRUE
t_strtprerst_pcaa_minus_syrstp,ctns,t_strtprerst_pcaa_minus_syrstp,FALSE,TRUE,TRUE,TRUE
t_strtprerst_pcaa_minus_syrstrt,ctns,t_strtprerst_pcaa_minus_syrstrt,FALSE,TRUE,TRUE,TRUE
t_syrstp_minus_syrstrt,ctns,t_syrstp_minus_syrstrt,FALSE,TRUE,TRUE,TRUE
